,child,parent,color,rel_level
0,History,Artificial_intelligence,red,1
1,Basics,Artificial_intelligence,red,1
2,Challenges,Artificial_intelligence,red,1
3,Approaches,Artificial_intelligence,red,1
4,Tools,Artificial_intelligence,red,1
5,Applications,Artificial_intelligence,red,1
6,Philosophy and ethics,Artificial_intelligence,red,1
7,Impact,Artificial_intelligence,red,1
8,Regulation,Artificial_intelligence,red,1
9,In fiction,Artificial_intelligence,red,1
10,See also,Artificial_intelligence,red,1
11,Explanatory notes,Artificial_intelligence,red,1
12,References,Artificial_intelligence,red,1
13,Further reading,Artificial_intelligence,red,1
14,External links,Artificial_intelligence,red,1
15,introduction,Artificial_intelligence,red,1
16,"Reasoning, problem solving",Challenges,blue,2
17,Knowledge representation,Challenges,blue,2
18,Planning,Challenges,blue,2
19,Learning,Challenges,blue,2
20,Natural language processing,Challenges,blue,2
21,Perception,Challenges,blue,2
22,Motion and manipulation,Challenges,blue,2
23,Social intelligence,Challenges,blue,2
24,General intelligence,Challenges,blue,2
25,Cybernetics and brain simulation,Approaches,blue,2
26,Symbolic,Approaches,blue,2
27,Sub-symbolic,Approaches,blue,2
28,Statistical,Approaches,blue,2
29,Integrating the approaches,Approaches,blue,2
30,The limits of artificial general intelligence,Philosophy and ethics,blue,2
31,Ethical machines,Philosophy and ethics,blue,2
32,"Machine consciousness, sentience and mind",Philosophy and ethics,blue,2
33,Superintelligence,Philosophy and ethics,blue,2
34,Risks of narrow AI,Impact,blue,2
35,Risks of general AI,Impact,blue,2
36,AI textbooks,References,blue,2
37,History of AI,References,blue,2
38,Other sources,References,blue,2
39,Cognitive simulation,Symbolic,green,3
40,Logic-based,Symbolic,green,3
41,Anti-logic or scruffy,Symbolic,green,3
42,Knowledge-based,Symbolic,green,3
43,Embodied intelligence,Sub-symbolic,green,3
44,Computational intelligence and soft computing,Sub-symbolic,green,3
45,Artificial moral agents,Ethical machines,green,3
46,Machine ethics,Ethical machines,green,3
47,Malevolent and friendly AI,Ethical machines,green,3
48,Consciousness,"Machine consciousness, sentience and mind",green,3
49,Computationalism and functionalism,"Machine consciousness, sentience and mind",green,3
50,Strong AI hypothesis,"Machine consciousness, sentience and mind",green,3
51,Robot rights,"Machine consciousness, sentience and mind",green,3
52,Technological singularity,Superintelligence,green,3
53,Transhumanism,Superintelligence,green,3
